paragraph_id,question_id,answer
9909,71696,G7e
11401,75168,в районе Большой Анкары
4502,76674,"2, 3 и 4 классов"
1345,51276,о равенстве стоимости внутренних и внешних источников финансирования
1897,64749,в 1906 году
4639,34010,структурное пространство
6323,50194,translation
4844,1592,В 2009 году
454,61707,"однородных товаров, предметов, материалов или активов"
7990,13238,наблюдение за природой и проведение экспериментов
2181,50516,при помощи миоцитов
10168,15640,инструктивна
3637,80700,1900
11116,65244,Вальтеллина
11171,30884,"бесчестие, низость и подлость"
14185,60980,"в областной маслихат и областной акимат, которые должны внести предложения в правительство Республики Казахстан"
7254,23206,единой процедурой удвоения размерности
2487,78719,в ходе Великой Французской революции
4226,34397,200 — 300 г
1081,20753,изо ржи и ячменя
6213,32767,ограничения на участие в управлении
1893,39159,"самостоятельное, отличное от общепринятого значение"
8534,10856,с Эмануилом Ласкером
13771,11063,в период расцвета европейских империй
13589,23192,три попытки разной степени успешности
13423,72399,Леонардо
14124,47070,останки детей
650,23943,Лактанций
12453,17737,"11,43 млн. рублей"
11893,51577,к незаконному сыну одного из них
3608,58612,к эффективности
10117,24039,Касание земли коленом
1964,2357,без зависимого оседлого населения
6417,56825,экономика
8223,47122,В. Н. Топоров
3219,45128,с осуждением российской военной интервенции
14914,45720,различные подходы к анализу денежной массы
3171,3568,для колонизации Молуккских островов
12296,1677,к кризису неплатежеспособности
3373,73952,научно-технической революции
14200,12258,23 июня 1894 года
10399,40738,его руководство
2559,51245,без сдвига равновесия
13051,81661,на личинок (гусениц) бабочек
10681,70756,артиллерия
14215,46188,середины XIX века
3438,60054,непрерывное вращательное движение вала
12063,80053,непереводимыми
2757,28157,лишь немногие виды млекопитающих питаются исключительно растениями или исключительно животными
6079,64524,название убиквитин-зависимой деградации белка
8353,30945,В клетках животных митоз
7175,17685,в хромосомах ядра и ДНК органелл
15126,72488,круговые
10998,7013,В 1935 году
4496,59461,голосовать против мира
4191,38247,в 1901 году
231,58006,как априорная
7153,76088,семь позиций
3145,23469,подземным фуникулёром
13224,13544,контроль над иррациональными силами
14019,55845,американским астрономом Асафом Холлом
14294,35358,приподнимает провода
7165,30576,никакой из методов не является более доказательным
13070,76361,к американской модели
10844,46003,Приверженцы литотерапии
4327,21278,челюстноротых
7928,54941,Железные
12087,15735,египтянин Ахмед аль-Наджар
4882,34917,ажио
8967,2832,на рынке соответствующих товаров
8771,35747,Николай Кузанский и Мишель Монтень
3498,31342,в 2008 году
7165,3874,морфологических данных
7060,53290,900 тысяч человек
10135,24312,начало занятия Толстым педагогикой и благотворительностью
10080,21733,между путями одного направления
5268,84311,уникальное
13415,2174,с. Кумух и ряд ближайших к нему сёл
3280,72707,иностранные предприниматели
14728,44367,в Великобритании и США
8754,44223,в 10 — 15 раз
86,75842,во время мирового финансового кризиса
5757,39921,эффективное образование и накопление знаний
1457,2116,Через вход и вестибюль
8790,73030,дисперсия или вариация
13242,19591,собака
2548,45276,"шведский, датский и старогутнийский языки"
3790,56674,Прямые
7320,66180,в 1950 — 1960-х годах
995,29343,8 сентября 1966 года
3438,57935,С вакуумным двигателем Уатта
5876,80027,в 1967
9339,68317,в Великобритании
5716,7209,ранние позвоночные
3717,63817,пэра
1947,76390,"обзор модельных портфелей, ежедневные обзоры рынка, отраслевые обзоры"
6933,61854,Огюстом Контом
14231,3774,"пресмыкающимися, насекомыми и особенно многочисленными птицами"
8048,13032,хеджирование своих инвестиций
8826,44752,"звукоиздающими органами, влияющими на поведение муравьёв"
5913,83314,использование больших воздушных змеев
13055,36352,муссонной циркуляцией
6418,16305,в 1921 году
6496,68385,мечеть Иса-бей (1374 — 1375)
2508,47244,протеогликановым матриксом
10389,80648,30 установок 28
5474,1625,Математическая модель представления сигнала
73,30238,В 1948 году
9270,71714,1499-1503 года
8038,56985,около 400
10113,17806,В 1954
14442,37648,особые инфекционные белки
522,23375,"осадочными толщами палеозойской, мезозойской эр и палеогена"
5550,14720,король Оттон I
8702,47972,"из кожи, войлока или пакли при помощи шомпола"
8593,10602,Рёштиграбен
10552,72866,около 20 тыс. лет назад
3371,12770,в 2013 году
1318,45668,провели договорной матч
13143,15406,порядка 6-10 номеров
2472,24532,беспилотные
2532,28594,из государственной казны
9645,64560,с Пальмовым домом
12382,48604,"соблюдение правил встречи, её процедуры и регламента"
3395,31265,За счёт использования свободного программного обеспечения и привлечения волонтёров
7540,70032,на шпалы и балласт
13790,45296,эссеистического
11802,84361,студенты и риторы
9072,47241,Поддержка со стороны МНБ
11571,74104,к диффузной эндокринной системе
9706,5830,предельной полезностью на базе субъективных оценок человеческих потребностей
9326,47517,поставить наклонно к оси фюзеляжа
1811,33250,уровень сервиса и размеры запасов
2247,49603,в 1934
5379,16252,как глухой взрывной согласный [к] или [к ]
989,71093,в 1904 году
11027,17926,иберийскому государству вестготов
11597,52420,наездник Asecodes albitarsus
10636,29634,Colias alfacariensis и Colias hyale
13947,84204,Возникновение фабрики
10006,65149,Лев Толстой
8674,14474,C40H62N10O12
9895,24970,в сражении на острове Мактан на Филиппинах
9434,66593,бригадного генерала Стирлинга
12402,47917,нефтяной
13642,30098,Критик и писательница Ирина Васюченко
6576,5960,в начале XX века
6909,4636,13 декабря 2012 г
1792,54182,цитологических картин в дробящихся яйцах круглых червей и моллюсков и в сперматогенных клетках насекомых
3426,3042,Джулио Париджи
5156,1640,системой фонем
12079,35625,джати
5974,50819,больше 100 млн лет
13137,78456,в Вологодской писцовой книге
2867,63267,суммой покрытия
9524,39341,ксенология
5006,608,1 нбар
6643,29024,"планирование, организация, мотивации и контроля"
3692,68814,экономических
4817,43220,в середине XVI века
7511,43913,резкое ограничение параметров жизни или даже отсутствие жизни
12033,36220,шекспировский примитивизм
12244,47249,иностранных
7723,6806,Лондон-андеграунд
927,60452,тростевой духовой музыкальный инструмент
6965,41166,двое
3628,48996,Вальс ми минор его сочинения
14546,47590,на поверхности семенных чешуек в женских шишках
9015,29910,лидера экономического империализма
9985,62301,буквально самопоедание
10987,60906,выхлопных газов автотранспорта
10328,16065,в 1575 году
4235,77491,Группа плетистых роз
9015,26622,единую науку об обществе
4602,56395,в 26-летнюю графиню Софи д’Удето
10693,7313,эпистемологии и политической философии
8108,27438,Плиска
11987,63597,распоряжения и приказы вышестоящего органа
11251,69761,"у хевсуров, сванов, мтиулов и т. д."
10928,60513,к старому другу — Денису Толхерсту
10999,12459,с IX века
2632,56614,после времяпрепровождения ещё более распутного
1581,75560,четыре
14967,24016,во время этого турне
2671,57469,Сергея Ушенина
2222,64611,при помощи двух мыщелков
5117,33328,более 6000 м над уровнем океана) до наибольших глубин Мирового океана (11022 м
8927,44671,интерфейс становится перегруженным
13200,42937,в 1637 году
11993,41139,в заимствованиях
5668,46715,с 2007 по 2013 годы
14699,66860,1929
14080,290,Норик
7691,82563,16 волостей
4277,76013,друг другу
12935,40607,из семьи еврейских эмигрантов
1005,10896,в реакции зрителя
2850,21981,13 букв
13486,21565,соединения серы
6020,65957,С 1627 по 1663 годы
2806,26213,у окончания
13383,56131,около 40
12813,83371,в грамотах XV в.
10612,57431,памятный знак
5413,21122,отношения Al/Fe и размещении в структуре инородных ионов
8148,5671,суперкапсидом
6388,81910,хиджази куфийское письмо
6793,65510,Этика
405,47622,к неверным расчётам окупаемости инвестиций
7318,81770,Антонио Ринальди
8382,64909,в американскую серию Индикар
5235,37773,в ЭССР
7239,38503,В 1954
2677,59825,"12,5 мс"
4361,42134,Пальмовый дом
13261,84298,в случае низкой интенсивности движения
5800,60758,Лейбниц
1794,65989,17 декабря
4291,51760,до 10 см
11184,83209,Вольф Дентенер
8891,62412,В телефонном аппарате Белла
1333,80966,право наиболее полного господства над своей вещью
7065,28860,в августе 1883 года
14288,61049,примерно началом XII столетия н. э.
13416,42049,Сергей и Лина Прокофьевы
10986,82598,разложением материала термодеструкцией
9104,42195,кривое зеркало античности
8830,43492,славяне-ободриты
7031,25530,В любом
11642,64367,товарищеским матчем
13629,20250,Уильям Ветцель
3104,60919,перевязь с висящими на шнурах деревянными пеналами
12666,18886,в Италии и Западной Европе
8553,63033,плательщика те или иные государственные органы
892,70156,святой Карл Борромео
7304,72078,Военные рассказы графа Л. Н. Толстого
11623,22776,"ремесло, профессиональная деятельность муз, ср. позднейшее техника"
14965,74183,в июле 1878
4000,42398,"7,4 млрд руб. (+42,4 %)"
5666,1286,латинских ритмических элементов
3105,42128,всё своё крупное состояние
11113,75997,Пробы почвы и минералов
8641,76682,горизонтальным и вертикальным размерами выводимого изображения в пикселях
13334,50078,Благодаря полученному в Франкфурте рекомендательному письму
2635,80399,шотландец Роберт Стирлинг
1435,39818,"Прелюдию № 5, соч. 23 g-moll"
2072,20328,предпринимателю АО Прямые инвестиции
10527,20718,фельдшером
2522,30782,64 770 000
149,16023,Основные фонды
7087,68920,в 2008 году
5974,22283,жаберных дуг
11825,28058,βэф
13340,72252,с доисторических времён
1101,58760,для укрепления сил
10946,40760,лазеры на красителях
3381,46097,с Оригинальным сериалом
5539,53398,из триад
5467,17416,с помощью денежной реформы
1969,73857,во Всемирном атласе языковых структур
7498,3010,облегчить рабочие условия и улучшить индустриальные отношения
2289,56812,с Северной Дакией
7592,31077,Она происходит в несколько этапов
5132,16137,санкционирование обычая
8210,37553,столкновений с более сильными державами
14021,59331,1945 — 1994
14047,2303,готы
12106,61744,за 1918 — 1986 годы
11652,55056,заключая в оболочку инородные частицы
1913,74435,в заданном соотношении в одновальную мешалку непрерывного действия
10461,75519,две пары
12077,79039,В июле 2011 года
11203,73603,тичинский диалект ломбардского языка
14028,6626,в аморальности
10462,13979,В 1968 году
12945,22728,мощной толщей кембрийских глин
3208,64517,воду и примеси других спиртов
10635,11388,"личная переписка, адреса, телефоны"
8550,14993,20 июля 1922 года
220,73056,оседло
7150,29377,от ранга пэрства и от некоторых общих соображений
1468,18816,Windows NT
4899,31954,видит в них поэтику соперничества
2581,70682,27 июня 1848 года
12973,19337,в начале 1960-х годов
14302,60877,названный Поток сознания
1604,38639,в 5 гиней
2003,22922,направление филогенетической систематики
7466,59379,на станции Джусалы
7963,70576,на цистерну эндоплазматического ретикулума
839,58087,ляпис-лазурь
1299,7157,предлагают отображать филогенетические связи между ними с помощью сетки жизни
14950,48471,В 2011 году
2178,66709,в английском или тайском
10804,58701,определённые отношения мастера и модели
10421,16030,3000
5686,17829,ленту
8141,57145,янтарь на заколке
13820,38324,информационный
5974,17690,в карбоне
2388,81068,Le Cercle Molière
7085,14350,с начала 1960-х годов
9487,39585,Зо́ны морозосто́йкости
534,5594,на специальные белки на его внешней мембране
14918,5287,неуспех или холодный приём премьерного исполнения
6654,52629,Вильям С.Берроуз и Джеймс Баллард
1078,75874,"401,3 км²"
7464,63449,50 терабайт
3152,78621,в 1804 года
1475,20890,на сравнительно небольшие самолёты
10002,20320,правовые формы этих отношений
14143,55632,естественный и математический
7881,83649,Вискозное волокно
45,47920,Михаил Нестеров
12518,39401,сухого листа
9108,52221,на 4000 посадочных мест
3468,30863,Около 71 %
14940,62229,"христианской философии, исламской философии"
7805,19258,римское духовенство
1190,37207,Березники
2597,60961,в 811 году
4023,67880,технический анализ
10297,71244,к ИТ и телекоммуникационным услугам
14392,65372,LIP фабрика
7070,58470,"механическую, тепловую, химическую, световую и другие"
13213,5749,специальные денежные вознаграждения
1929,56814,"Майкл Келли, друг Моцарта и исполнитель"
174,7518,с миграцией неолитических земледельцев с Ближнего Востока
8022,80642,в специальные школы-интернаты
9237,49761,недостаточность материальной базы
1848,14771,После 1860-х
5919,11825,открытыми
3217,59066,монокулярное
11160,10917,распространяя новые генетические черты между обеими дивергирующими популяциями
216,43022,За создание новых поэтических выражений в великой американской песенной традиции
6792,81123,2.39:1
2577,74683,клавишный струнный инструмент с горизонтальным (рояль) или вертикальным (пианино) расположением струн
5142,23116,Из-за тяжелой и долгой дороги
1210,27062,на национальных традициях
13580,12559,итальянец Луиджи Пальмьери
8046,71340,в 2006 году
14297,37249,одного слугу
12408,69930,Соя
4317,25482,"в различных жанрах, включая эпическую поэзию и оперу"
5551,83507,Средства контроля
707,84011,"Великобритании, Венгрии и Югославии"
12483,42337,не чаще двух раз в год
14571,37477,APCCdc20
14634,17557,"Тайвань-Таоюань, расположенный в уезде Таоюань. Это один из четырёх международных аэропортов острова"
12994,18544,ниже 50
13956,50285,к появлению потомков с функционирующими глазами
5503,34948,Проточный переулок
12074,82665,первые подробные карты поверхности Марса
14326,37182,Купальни Сеченьи
2283,78951,способом адресации в сети Интернет
2552,23611,Реорганизация
2762,61387,Российский закон О национальной платёжной системе
7385,7200,Sápmi (Сапми)
1559,81184,Устранение помех
10504,18406,В конце 1991
13706,52764,С 1945 по 1947 год
11290,26444,особое волевое действие
7864,70883,В Великобритании
13589,71521,имели сугубо временное значение в истории оркестрового исполнительства
11611,12830,финансово-кредитная система
7059,67777,промышленному комплексу предприятий концерна FIAT
10323,82138,9 марта 1500 года
2193,40878,"2,5 млрд рублей"
8978,3584,освоить данный приём были не в состоянии
9993,80869,не менее 50
13586,49664,кожаными или пластиковыми ручками
8743,49281,наблюдательность и экспертные знания
601,61552,В 1982 — 1984 гг
8434,36957,установил и оценил запасы природных ресурсов почвы
6744,82066,с утра
301,78963,бактерии-симбионты
3777,52060,"№ 317-р от 07.03.2013 на Минэкономразвития России, Минфин России и ФНС России"
12098,73827,в США
1540,7386,со здравым смыслом
4765,76038,отец героини
8116,36134,на передних и задних крыльях
9053,26232,В 1979 году
4893,2909,вероятное возрождение ню-метала из-за групп
7522,52227,Опасаясь нехватки продовольствия
4864,17096,филиалом Орал-Робертс университета в Талсе
7030,43070,для движения сперматозоида
4796,79665,с плотом
179,17850,между реализмом и романтизмом
14156,974,под полом
3338,69353,Использование композитных (из дерева и камня) орудий труда и оружия
6,40187,разорвал отношения с ОПХ
337,11437,синтез белков
8502,61910,в древние
13794,11479,Турин
7394,66817,композитор
14343,3575,Народ
10312,41588,Четвёртым дивизионом и Футбольной конференцией
5171,57644,Вес золы
11891,1410,С 1897 года
1153,83707,В марте 1754 года
14928,14425,в древние
6364,13234,вирусов различных типов
1761,16418,в основание научной химической системы
10880,83097,Национальный банк Словакии
8833,11455,нужно учитывать возможность химических изменений в обложке и тексте
2343,17734,штанговый токоприёмник
5844,27883,в Литве
12827,80761,"выдающийся полководец Священной Римской империи франко-итальянского происхождения, генералиссимус"
12614,81593,Андре Кампра и Марк-Антуан Шарпантье
11473,8669,с 1988 по 1990 год
13849,68225,"по убойному действию 5,45-мм пули несколько уступают пулям 5,56-мм патрона М193"
1339,39302,на основе договора аренды
8012,76982,два вида рода Cynolebias и вид Rivulus marmoratus
4599,72457,4
5938,5775,на основании показателей измерительных приборов без акцепта плательщика
873,48148,десять сегментов
14088,19132,55-100 см
10847,58654,Дэвида Хьюза
1518,25513,Паганини
5875,52027,звездолёты
3704,56315,Уильямом Астбери
10641,78059,регистрацию через МОК
5178,24151,было вызвано сравнительной ограниченностью локальных конфликтов
10156,9262,При дороге и Дело корнета Елагина
4716,58997,по функциональному принципу
1651,45578,доллар США
3853,24458,к Полтаве
9972,77091,16 %
5323,63261,ФАС России
3307,25227,Тургенев
8059,27587,tight junction
4929,5016,материал дорог
5478,54115,в банке произошёл технический сбой
5955,75983,на строении тычинок и пестиков
13521,50979,Ирана
7165,24797,никакой
11940,44244,объёмом крови
494,17083,в странах Азии
13792,19033,отпечаток петли на шее
7112,976,из-за дороговизны и специфичности
12099,13643,отношениями непересекающейся
9893,56537,"амниот, внутреннее"
881,29007,"атомные установки, электрические аккумуляторы"
3947,26723,могут подлежать обязательному изъятию с последующей перечеканкой
2110,79741,списание с карты ошибочно зачисленной суммы
2314,82958,19-20 метров
7011,17271,"образовательная ценность полезных знаний, необходимость обучения через действия и объединение профессиональных и гуманитарных наук"
5347,64706,Бог
4649,17816,с производством товара
11722,28892,3 млрд 370 млн рублей
2214,65431,"крабы (например, Dromia personata)"
6350,51940,Запада
3916,34944,8 метров
4243,57959,на юго-западном побережье Пиренейского полуострова
1999,76871,2009 года
4308,76047,до 30 см
14515,16803,эксцентричных женщин
2966,6319,финансовая политика любой фирмы
11564,48116,1776 г
718,77480,И. Ю. Скалигером
5405,5399,в 1999 году
12715,30367,В 1883 году
8158,33457,"абсорбция, секреция, транспорт, выделение, защита"
2950,82684,в Lesser General Public License
12811,64332,720×576 точек
6973,52747,к эллинистическому
9301,28933,Теория фотографии
8590,6669,нейтралитет
2632,34490,6 апреля 1520 г.
14986,55569,до 6 месяцев
9224,62935,"оба были писателями-поэтами, писателями-охотниками, писателями-дворянами и авторами дворянских повестей"
1257,57238,Любовь и смерть
12609,62287,Петербург
14296,9511,территория аннексировалась британцами
439,38857,превращение влияния факторов внешней или внутренней среды
2635,42621,нагревателя и охладителя
675,55941,на задней линии
7771,47574,в Петербурге
12503,13952,добавленные продажи дадут им больше
3743,12478,выплаты стоимости части имущества
9235,1196,В 1993 году
1452,17562,жизнь каждой души
3276,47560,через специальный реестр недобросовестных участников внешнеэкономической деятельности
1965,35064,Plan 9
12429,12158,апокалиптический взгляд
2486,63068,об излучении света порциями
2627,4521,"0,5–1 метр"
11549,1526,Адольф Добрянский
9312,40386,концом XVI века
5570,17515,географическую картографию
10043,13700,До отмены золотых паритетов
5134,42675,При Павле I
5121,51886,16:9
11825,586,В процессе деления ядер топлива
13523,26227,"при повреждении структур, участвующих в митотическом делении"
7556,12142,Во всех
6851,31196,В книгах
6195,50977,в Италию
11662,25569,совместимость принципов генетики с теорией естественного отбора
2609,79775,"Перспективным сцинтиллятором, обладающим высоким временным разрешением"
7299,3741,В 1886 году
3524,71005,160 000 –
3197,45434,процесс принятия правительством решений
13689,56191,Жемчуг дракона Акиры Ториямы
7091,15227,на 4 округа
5247,47999,с XVII века
14281,84,В 2011 году
11592,27332,На Гран-при США 2005 года
13259,76208,митрополит Уфимский Никон
2481,79004,из пустыни Гоби
4231,36056,муниципальной
7227,42318,1970-е годы
10167,55627,В силу наличия тройной связи
743,52543,доступного карте остатка
9570,12138,При неструктурированных целях целях
7346,66523,за счёт краткости и быстроты
9521,24302,в разных областях экономики и техники
1855,35366,All-England Plate
7394,16900,в жанре оперы-сериа
3767,21903,за описанный выше механизм изменения окраски тела
8553,60551,не всегда
14173,80474,вследствие наклона земной оси относительно плоскости орбиты
1967,69962,"в свою кузину, вдову Кее Вос-Стрикер"
11475,82284,в поисках более широких возможностей
3994,68666,до 250 м.
2754,11151,к динамическим
6506,34023,на общефизическую подготовку
4450,44581,В конце февраля 1735
1930,58801,формальную логику для анализа этических высказываний
13410,2885,к своему союзнику Феодору II Ласкарису
12571,20752,прийти на помощь соседним землевладельцам
13204,24919,на дерму и эпидермис
12280,12673,в 1920-е и 1930-е годы
9047,70744,с 1807 года
9413,54126,Монжуик и Тибидабо
8824,67240,Из-за отсутствия щёточно-коллекторного узла
2851,29747,В 921 году
492,9970,"воском, шерстью, роговыми веществами"
824,14073,Дуло
11650,9196,куколки
14654,78043,Экономические
6426,78835,Фибрилляция предсердий
497,23138,"пемза, обсидианы, пехштейн, базальты"
4413,52211,Ostbahn
13241,2030,космическим излучением
12601,57866,пять или более побед
14387,28924,после победы над Максенцием
3038,8121,"Комиссия, возглавляемая Лью Алленом, директором Лаборатории реактивного движения"
10588,22153,серозная оболочка (брюшина)
48,10498,французы оформили своё владение нынешней Джибути договором с султаном Адала
8408,39640,в неудаче Июньского наступления 1917 года
10386,26415,Артемиде
13437,22998,поэткой и злодейкой
7483,36287,с несовместимостью старых приводов с этими новыми дисками
696,36741,Русфинанс Банк
13332,83684,16 — 18 % по массе
7620,23580,"через нем. Alkohol, нидерл. alkohol или порт., исп. alcohol"
13519,20966,комплексное досье объекта
3747,10526,две и более заявки
7016,21449,выдвинулся в лидеры аргентинского футбола
5214,38961,Рыбы СССР и сопредельных стран
13307,75873,медоносная пчела
12497,61872,над принятием решений
13352,31515,Уменьшение числа хромосом в результате мейоза
3389,14397,разработать минимум один анализ пяти сил Портера для этой отрасли
6039,44528,собственного производства
7434,53995,на ореол славы авангардиста
4708,25684,"млекопитающих, реже птиц и насекомых"
14333,44107,"с новой модой, причёской и любой музыкой, выражающей эмоции"
12446,83692,давал мне читать бумаги и показывал на примерах
8046,67368,в 1987
2301,11386,Хоуп-Вэлли-лайн (англ.) и Холлем-лайн (англ.)
9044,75800,крестоносцами Первого Крестового похода
6296,70495,раздвоенный язык для сбора частиц из окружающей среды
12933,24884,донорными
1257,50030,Прокофьева
4943,26072,это два взаимодополняющих инструмента
8645,37861,в некоторых простых компьютерных моделях эволюции
8979,37741,в церковь или иное почитаемое место
184,29047,экспериментально
3547,42607,В 1842
2366,12238,с помощью рукоятки
7016,17112,Бернабе Феррейра
7074,68347,Уоррал и Кол
6628,38096,материальному благосостоянию
4370,21063,промышленность
14208,77348,13 века
14434,20638,существительным мужского рода
8516,53231,перед окончанием колледжа
12876,11483,Бретоны после смерти короля Хлодвига всегда находились под властью франков
4170,54662,около пяти суток
14603,74419,социального института
193,25166,Альтернативная стоимость товара или услуги
13795,59831,"Бальби[fr] во Франции, Сан-Сусси в Потсдаме и Версалем"
13460,3454,"мой 2-й Концерт, Токкату и 2-ю Сонату"
5987,82940,что это поможет решить проблемы человеческого общества
9050,78593,"Цианобактерии, глаукоцистофитовые, красные и криптофитовые водоросли"
12545,70500,Готфриду Вильгельму Лейбницу
7390,5251,В 1945 — 1947 годах
6664,69755,Для установки связи с четвёртым атомом кремния у атома индия нет валентного электрона
3549,67778,третье место
1957,9611,к персам
8554,81628,на эволюцию растений
13822,10561,из Ирана
6092,25284,из денежных поступлений
12378,47558,к полному исчезновению определённых аллелей из популяции
2467,65338,денежного вознаграждения его участникам формально не полагалось
4821,51184,"как на Ubuntu, так и Debian"
10416,41197,"34,8 км"
11840,46826,Коперника
2937,63180,запасов товарно-материальных ценностей
7812,41021,мифологическая школа
2586,23724,об эффективном управлении собственным временем
4504,22409,"эпидемия чумы, несколько пожаров и восстания янычар"
14306,8246,к IV тысячелетию до н. э.
10203,45163,Степан Евсеевич
5796,31390,в Севилье
10119,68323,правительство страны
5526,10186,"демонстрация событий с точки зрения как детектива, так и преступника"
